    ;SESSIONID              ;USERID;DATETIME                     ;ALTITUDE;HEARTRATE;SPEED  ;CADENCE;DISTANCE           ;TEMPERATURE
1   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:45.397 PM;0       ;115      ;0.07   ;0      ;0                  ;0          
2   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:46.397 PM;0       ;115      ;0.07   ;0      ;0                  ;0          
3   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:47.397 PM;0       ;116      ;0.29   ;0      ;0                  ;0          
4   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:48.397 PM;0       ;117      ;0.77   ;0      ;0                  ;0          
5   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:49.397 PM;0       ;122      ;1.96   ;78     ;0.10000000149011612;0          
6   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:50.397 PM;0       ;127      ;3.4    ;91     ;0.30000001192092896;0          
7   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:51.397 PM;0       ;130      ;5.11   ;100    ;0.5                ;0          
8   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:52.397 PM;0       ;135      ;6.85   ;99     ;0.6000000238418579 ;0          
9   ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:53.397 PM;0       ;138      ;8.44   ;101    ;0.800000011920929  ;0          
10  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:54.397 PM;0       ;142      ;9.7    ;98     ;0.8999999761581421 ;0          
11  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:55.397 PM;0       ;145      ;10.7   ;99     ;1                  ;0          
12  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:56.397 PM;0       ;149      ;11.29  ;98     ;1.100000023841858  ;0          
13  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:57.397 PM;0       ;152      ;11.62  ;99     ;1.100000023841858  ;0          
14  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:58.397 PM;0       ;154      ;11.81  ;99     ;4.199999809265137  ;0          
15  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:33:59.397 PM;0       ;157      ;11.66  ;101    ;9.699999809265137  ;0          
16  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:00.397 PM;0       ;159      ;11.59  ;102    ;14.899999618530273 ;0          
17  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:01.397 PM;0       ;160      ;11.66  ;103    ;19.899999618530273 ;0          
18  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:02.397 PM;0       ;162      ;11.92  ;103    ;25.600000381469727 ;0          
19  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:03.397 PM;0       ;163      ;12.29  ;103    ;30.600000381469727 ;0          
20  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:04.397 PM;0       ;164      ;12.63  ;100    ;36                 ;0          
21  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:05.397 PM;0       ;164      ;12.89  ;100    ;41.70000076293945  ;0          
22  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:06.397 PM;0       ;165      ;13.07  ;100    ;47.099998474121094 ;0          
23  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:07.397 PM;0       ;164      ;13.18  ;100    ;52.400001525878906 ;0          
24  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:08.397 PM;0       ;165      ;13.22  ;100    ;57.5               ;0          
25  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:09.397 PM;0       ;166      ;13.25  ;100    ;62.5               ;0          
26  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:10.397 PM;0       ;166      ;13.29  ;103    ;67.9000015258789   ;0          
27  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:11.397 PM;0       ;167      ;13.36  ;101    ;73.30000305175781  ;0          
28  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:12.397 PM;0       ;167      ;13.4   ;98     ;78.0999984741211   ;0          
29  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:13.397 PM;0       ;168      ;13.51  ;97     ;82.9000015258789   ;0          
30  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:14.397 PM;0       ;169      ;13.63  ;97     ;88.5               ;0          
31  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:15.397 PM;0       ;168      ;13.74  ;99     ;94.30000305175781  ;0          
32  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:16.397 PM;0       ;169      ;13.81  ;99     ;100.19999694824219 ;0          
33  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:17.397 PM;0       ;169      ;15.88  ;99     ;105.9000015258789  ;0          
34  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:18.397 PM;0       ;170      ;17.1   ;97     ;111.4000015258789  ;0          
35  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:19.397 PM;0       ;170      ;17.77  ;100    ;116.5              ;0          
36  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:20.397 PM;0       ;171      ;18.05  ;98     ;121.69999694824219 ;0          
37  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:21.397 PM;0       ;172      ;18.33  ;98     ;127.4000015258789  ;0          
38  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:22.397 PM;0       ;172      ;18.6   ;99     ;133.5              ;0          
39  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:23.397 PM;0       ;172      ;18.78  ;97     ;138.60000610351562 ;0          
40  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:24.397 PM;0       ;172      ;18.59  ;97     ;143.39999389648438 ;0          
41  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:25.397 PM;0       ;173      ;18.36  ;97     ;147.60000610351562 ;0          
42  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:26.397 PM;44.044  ;173      ;17.59  ;97     ;152.10000610351562 ;0          
43  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:27.397 PM;44.044  ;172      ;16.59  ;97     ;156.39999389648438 ;0          
44  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:28.397 PM;44.197  ;173      ;15.81  ;97     ;160.60000610351562 ;0          
45  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:29.397 PM;44.197  ;173      ;15.81  ;97     ;164.60000610351562 ;0          
46  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:30.397 PM;44.349  ;173      ;15.8   ;98     ;168.60000610351562 ;0          
47  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:31.397 PM;44.501  ;173      ;15.77  ;97     ;172.3000030517578  ;0          
48  ;2023-11-12T12:33:45.314;Renaud;Nov 12, 2023, 12:34:32.397 PM;44.806  ;174      ;15.73  ;95     ;176.1999969482422  ;0          
