  ;SESSIONID              ;USERID;LAPNUMBER;DURATION;SPLITTIME;DISTANCE          ;MINHEARTRATE;AVGHEARTRATE;MAXHEARTRATE;AVGSPEED;MAXSPEED;AVGCADENCE;MAXCADENCE
1 ;2023-11-12T12:33:45.314;Renaud;0        ;62.127  ;62.127   ;248.1999969482422 ;115         ;161         ;174         ;161     ;174     ;99        ;117       
2 ;2023-11-12T12:33:45.314;Renaud;1        ;90.125  ;152.252  ;312.20001220703125;129         ;153         ;175         ;153     ;175     ;84        ;102       
3 ;2023-11-12T12:33:45.314;Renaud;2        ;62.249  ;214.501  ;278               ;144         ;170         ;181         ;170     ;181     ;96        ;103       
4 ;2023-11-12T12:33:45.314;Renaud;3        ;90.126  ;304.627  ;303.5             ;140         ;161         ;181         ;161     ;181     ;84        ;94        
5 ;2023-11-12T12:33:45.314;Renaud;4        ;61.874  ;366.501  ;282               ;138         ;172         ;183         ;172     ;183     ;96        ;106       
6 ;2023-11-12T12:33:45.314;Renaud;5        ;90.375  ;456.876  ;317               ;141         ;161         ;184         ;161     ;184     ;84        ;91        
7 ;2023-11-12T12:33:45.314;Renaud;6        ;65.125  ;522.001  ;280.1000061035156 ;143         ;173         ;184         ;173     ;184     ;95        ;111       
8 ;2023-11-12T12:33:45.314;Renaud;7        ;91.251  ;613.252  ;320.8999938964844 ;142         ;160         ;184         ;160     ;184     ;84        ;91        
9 ;2023-11-12T12:33:45.314;Renaud;8        ;64.625  ;677.877  ;283.20001220703125;144         ;170         ;182         ;170     ;182     ;97        ;109       
10;2023-11-12T12:33:45.314;Renaud;9        ;183.624 ;861.501  ;326.3999938964844 ;109         ;133         ;182         ;133     ;182     ;69        ;93        
11;2023-11-12T12:33:45.314;Renaud;10       ;63.501  ;925.002  ;269.6000061035156 ;122         ;161         ;178         ;161     ;178     ;96        ;106       
12;2023-11-12T12:33:45.314;Renaud;11       ;90.25   ;1,015.252;302.79998779296875;134         ;160         ;180         ;160     ;180     ;86        ;102       
13;2023-11-12T12:33:45.314;Renaud;12       ;61.625  ;1,076.877;271.20001220703125;138         ;169         ;184         ;169     ;184     ;99        ;110       
14;2023-11-12T12:33:45.314;Renaud;13       ;90.875  ;1,167.752;324.20001220703125;148         ;167         ;184         ;167     ;184     ;85        ;102       
15;2023-11-12T12:33:45.314;Renaud;14       ;62.625  ;1,230.377;271.29998779296875;144         ;171         ;185         ;171     ;185     ;96        ;105       
16;2023-11-12T12:33:45.314;Renaud;15       ;97.999  ;1,328.376;326               ;137         ;163         ;186         ;163     ;186     ;84        ;91        
17;2023-11-12T12:33:45.314;Renaud;16       ;63.501  ;1,391.877;280.1000061035156 ;129         ;165         ;183         ;165     ;183     ;97        ;105       
18;2023-11-12T12:33:45.314;Renaud;17       ;90.375  ;1,482.252;324.29998779296875;154         ;168         ;185         ;168     ;185     ;88        ;104       
19;2023-11-12T12:33:45.314;Renaud;18       ;62.125  ;1,544.377;274.79998779296875;149         ;169         ;185         ;169     ;185     ;97        ;107       
20;2023-11-12T12:33:45.314;Renaud;19       ;181     ;1,725.377;326.70001220703125;124         ;148         ;186         ;148     ;186     ;74        ;93        
21;2023-11-12T12:33:45.314;Renaud;20       ;61.624  ;1,787.001;275.1000061035156 ;124         ;159         ;180         ;159     ;180     ;97        ;110       
22;2023-11-12T12:33:45.314;Renaud;21       ;90.375  ;1,877.376;320.5             ;151         ;166         ;181         ;166     ;181     ;86        ;109       
23;2023-11-12T12:33:45.314;Renaud;22       ;61.376  ;1,938.752;273.1000061035156 ;147         ;168         ;180         ;168     ;180     ;100       ;112       
24;2023-11-12T12:33:45.314;Renaud;23       ;89.999  ;2,028.751;304.29998779296875;156         ;172         ;186         ;172     ;186     ;85        ;109       
25;2023-11-12T12:33:45.314;Renaud;24       ;61.626  ;2,090.377;263.5             ;153         ;171         ;185         ;171     ;185     ;97        ;106       
26;2023-11-12T12:33:45.314;Renaud;25       ;91.875  ;2,182.252;316.29998779296875;161         ;175         ;186         ;175     ;186     ;85        ;94        
27;2023-11-12T12:33:45.314;Renaud;26       ;59.5    ;2,241.752;271.8999938964844 ;153         ;173         ;188         ;173     ;188     ;99        ;112       
28;2023-11-12T12:33:45.314;Renaud;27       ;92.875  ;2,334.627;312.5             ;159         ;175         ;189         ;175     ;189     ;84        ;96        
29;2023-11-12T12:33:45.314;Renaud;28       ;59.124  ;2,393.751;252.3000030517578 ;149         ;171         ;188         ;171     ;188     ;100       ;110       
30;2023-11-12T12:33:45.314;Renaud;29       ;44.001  ;2,437.752;40                ;174         ;184         ;189         ;184     ;189     ;65        ;94        
